run,time,repetition,Module,Name,
HTTP_Client_Decrease_S05-0-20200816-08:55:14-7903,1000,0,FinalTask.Professor.app[0],[VC] Total LATE Packets,2802
HTTP_Client_Decrease_S05-0-20200816-08:55:14-7903,1000,0,FinalTask.Student.app[0],[VC] Total LATE Packets,257
HTTP_Client_Decrease_S05-1-20200816-09:10:07-7903,1000,1,FinalTask.Professor.app[0],[VC] Total LATE Packets,2815
HTTP_Client_Decrease_S05-1-20200816-09:10:07-7903,1000,1,FinalTask.Student.app[0],[VC] Total LATE Packets,259
HTTP_Client_Decrease_S05-2-20200816-09:24:20-7903,1000,2,FinalTask.Professor.app[0],[VC] Total LATE Packets,2820
HTTP_Client_Decrease_S05-2-20200816-09:24:20-7903,1000,2,FinalTask.Student.app[0],[VC] Total LATE Packets,264
HTTP_Client_Decrease_S05-3-20200816-08:55:14-7904,1000,3,FinalTask.Professor.app[0],[VC] Total LATE Packets,2842
HTTP_Client_Decrease_S05-3-20200816-08:55:14-7904,1000,3,FinalTask.Student.app[0],[VC] Total LATE Packets,265
HTTP_Client_Decrease_S05-4-20200816-09:10:37-7904,1000,4,FinalTask.Professor.app[0],[VC] Total LATE Packets,2907
HTTP_Client_Decrease_S05-4-20200816-09:10:37-7904,1000,4,FinalTask.Student.app[0],[VC] Total LATE Packets,242
HTTP_Client_Decrease_S05-5-20200816-09:25:18-7904,1000,5,FinalTask.Professor.app[0],[VC] Total LATE Packets,2848
HTTP_Client_Decrease_S05-5-20200816-09:25:18-7904,1000,5,FinalTask.Student.app[0],[VC] Total LATE Packets,260
HTTP_Client_Decrease_S05-6-20200816-08:55:14-7905,1000,6,FinalTask.Professor.app[0],[VC] Total LATE Packets,2822
HTTP_Client_Decrease_S05-6-20200816-08:55:14-7905,1000,6,FinalTask.Student.app[0],[VC] Total LATE Packets,274
HTTP_Client_Decrease_S05-7-20200816-09:10:53-7905,1000,7,FinalTask.Professor.app[0],[VC] Total LATE Packets,2821
HTTP_Client_Decrease_S05-7-20200816-09:10:53-7905,1000,7,FinalTask.Student.app[0],[VC] Total LATE Packets,265
HTTP_Client_Decrease_S05-8-20200816-09:25:23-7905,1000,8,FinalTask.Professor.app[0],[VC] Total LATE Packets,2732
HTTP_Client_Decrease_S05-8-20200816-09:25:23-7905,1000,8,FinalTask.Student.app[0],[VC] Total LATE Packets,256
HTTP_Client_Decrease_S05-9-20200816-08:55:14-7906,1000,9,FinalTask.Professor.app[0],[VC] Total LATE Packets,2826
HTTP_Client_Decrease_S05-9-20200816-08:55:14-7906,1000,9,FinalTask.Student.app[0],[VC] Total LATE Packets,263
