run,time,repetition,Module,Name,
HTTP_Client_Increase_S04a-0-20200816-00:20:19-546,1000,0,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23539
HTTP_Client_Increase_S04a-0-20200816-00:20:19-546,1000,0,FinalTask.Student.app[0],[VC] Total RCVD Packets,21746
HTTP_Client_Increase_S04a-1-20200816-02:02:42-546,1000,1,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23720
HTTP_Client_Increase_S04a-1-20200816-02:02:42-546,1000,1,FinalTask.Student.app[0],[VC] Total RCVD Packets,21675
HTTP_Client_Increase_S04a-2-20200816-03:33:12-546,1000,2,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23589
HTTP_Client_Increase_S04a-2-20200816-03:33:12-546,1000,2,FinalTask.Student.app[0],[VC] Total RCVD Packets,21708
HTTP_Client_Increase_S04a-3-20200816-00:20:19-547,1000,3,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23645
HTTP_Client_Increase_S04a-3-20200816-00:20:19-547,1000,3,FinalTask.Student.app[0],[VC] Total RCVD Packets,21724
HTTP_Client_Increase_S04a-4-20200816-02:01:09-547,1000,4,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23597
HTTP_Client_Increase_S04a-4-20200816-02:01:09-547,1000,4,FinalTask.Student.app[0],[VC] Total RCVD Packets,21666
HTTP_Client_Increase_S04a-5-20200816-03:29:59-547,1000,5,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23438
HTTP_Client_Increase_S04a-5-20200816-03:29:59-547,1000,5,FinalTask.Student.app[0],[VC] Total RCVD Packets,21734
HTTP_Client_Increase_S04a-6-20200816-00:20:19-548,1000,6,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23458
HTTP_Client_Increase_S04a-6-20200816-00:20:19-548,1000,6,FinalTask.Student.app[0],[VC] Total RCVD Packets,21659
HTTP_Client_Increase_S04a-7-20200816-02:03:37-548,1000,7,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23571
HTTP_Client_Increase_S04a-7-20200816-02:03:37-548,1000,7,FinalTask.Student.app[0],[VC] Total RCVD Packets,21753
HTTP_Client_Increase_S04a-8-20200816-03:33:51-548,1000,8,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23536
HTTP_Client_Increase_S04a-8-20200816-03:33:51-548,1000,8,FinalTask.Student.app[0],[VC] Total RCVD Packets,21684
HTTP_Client_Increase_S04a-9-20200816-00:20:19-549,1000,9,FinalTask.Professor.app[0],[VC] Total RCVD Packets,23606
HTTP_Client_Increase_S04a-9-20200816-00:20:19-549,1000,9,FinalTask.Student.app[0],[VC] Total RCVD Packets,21672
